marca_id;modelo_id;ano_modelo;data_venda;valor_venda;taxa_servico;valor_total;km_rodados;placa;cliente;cpf;estado;valor_venda_num;km_rodados_num;marca_id_limpo;modelo_id_limpo;ano_modelo_limpo;placa_limpa;cpf_limpo;valor_venda_limpo;taxa_servico_limpo;marca_id_clean;modelo_id_clean;ano_modelo_clean;placa_clean;cpf_clean;valor_venda_clean;taxa_servico_clean;fipe_json
44;9120;2019-3;2025/03/15;52.300,00;850,00;53.150,00;42000;XYZ3C33;Renata Farias;456-123-789-44;RJ;52300.0;42000.0;44;9120;2019-3;XYZ3C33;45612378944;52300.0;850.0;44;9120;2019-3;XYZ3C33;45612378944;52300.0;850.0;
23;4828;2010-5;15/03/2025;45990;900;47000;98/000;XYZ4D44;Julio Castro;852.741.963-55;SP;45990.0;;23;4828;2010-5;XYZ4D44;85274196355;45990.0;900.0;23;4828;2010-5;XYZ4D44;85274196355;45990.0;900.0;
22;6831;2020-1;03-20-2025;73500;1000;74500;65000km;XYZ5E55;Paula Teixeira;85274196355;ZZ;73500.0;65000.0;22;6831;2020-1;XYZ5E55;85274196355;73500.0;1000.0;22;6831;2020-1;XYZ5E55;85274196355;73500.0;1000.0;
59;5940;2014-1;2025-06-02;R$ 88.629,00;1.200,00;89.829,00;120000;PQR5S67;Juliana Costa;951.357.258-66;SP;88629.0;120000.0;59;5940;2014-1;PQR5S67;95135725866;88629.0;1200.0;59;5940;2014-1;PQR5S67;95135725866;88629.0;1200.0;
59;5940;2014-1;06-02-2025;88,629.00;1.200,00;89.829,00;120000km;PQS5S67;Paulo Costa;951-357-258-66;SP;88.629;120000.0;59;5940;2014-1;PQS5S67;95135725866;88.629;1200.0;59;5940;2014-1;PQS5S67;95135725866;88.629;1200.0;
23;6831;2020-1;2025-08-01;73.500,00;1.000,00;74.500,00;65000;VWX3Y21;Fernanda Rocha;654.987.321-88;SP;73500.0;65000.0;23;6831;2020-1;VWX3Y21;65498732188;73500.0;1000.0;23;6831;2020-1;VWX3Y21;65498732188;73500.0;1000.0;
23;6831;2020-1;01/08/2025;73500;1000;74500;65.000;VWX3Y21;Fernanda Rocha;65498732188;RJ;73500.0;65.0;23;6831;2020-1;VWX3Y21;65498732188;73500.0;1000.0;23;6831;2020-1;VWX3Y21;65498732188;73500.0;1000.0;
23;6831;2020-1;08-01-2025;R$ 73.500,00;1000,00;74.500,00;65000km;VWX3Y21;Fernanda Rocha;654-987-321-88;ZZ;73500.0;65000.0;23;6831;2020-1;VWX3Y21;65498732188;73500.0;1000.0;23;6831;2020-1;VWX3Y21;65498732188;73500.0;1000.0;
22;9120;2019-3;2025-09-14;52.300,00;850,00;53.150,00;42000;YZA-6B43;Lucas Teixeira;258.369.147-99;SP;52300.0;42000.0;22;9120;2019-3;YZA6B43;25836914799;52300.0;850.0;22;9120;2019-3;YZA6B43;25836914799;52300.0;850.0;
22;9120;2019-3;14/09/2025;52300.00;850.00;53150.00;42.000;YZA6B43;Lucas Teixeira;25836914799;RJ;52300.0;42.0;22;9120;2019-3;YZA6B43;25836914799;52300.0;850.0;22;9120;2019-3;YZA6B43;25836914799;52300.0;850.0;
22;9120;2019-3;09-14-2025;R$52300,00;850;53150;42000km;YZA6B43;Lucas Teixeira;258-369-147-99;SP;52300.0;42000.0;22;9120;2019-3;YZA6B43;25836914799;52300.0;850.0;22;9120;2019-3;YZA6B43;25836914799;52300.0;850.0;
44;7710;2017-1;2025-10-03;39.900,00;700,00;40.600,00;87000;BCD-4E65;Patricia Nunes;369.258.147-10;RJ;39900.0;87000.0;44;7710;2017-1;BCD4E65;36925814710;39900.0;700.0;44;7710;2017-1;BCD4E65;36925814710;39900.0;700.0;
44;7710;2017-1;03/10/2025;39900;700;40600;87.000;BCD4E65;Patricia Nunes;36925814710;SP;39900.0;87.0;44;7710;2017-1;BCD4E65;36925814710;39900.0;700.0;44;7710;2017-1;BCD4E65;36925814710;39900.0;700.0;
44;7710;2017-1;10-03-2025;R$ 39.900,00;700,00;40600;87000km;BCD4E65;Patricia Nunes;369-258-147-10;XX;39900.0;87000.0;44;7710;2017-1;BCD4E65;36925814710;39900.0;700.0;44;7710;2017-1;BCD4E65;36925814710;39900.0;700.0;
22;9120;2019-3;12-01-2025;R$52300,00;850;53150;42000km;HIJ1K23;Bruna Carvalho;789-456-123-55;XX;52300.0;42000.0;22;9120;2019-3;HIJ1K23;78945612355;52300.0;850.0;22;9120;2019-3;HIJ1K23;78945612355;52300.0;850.0;
23;1043;2020-1;2025-03-20;73.500,00;1.000,00;74.500,00;65000;GHI7L89;Carlos Pereira;741.852.963-11;RJ;73500.0;65000.0;23;1043;2020-1;GHI7L89;74185296311;73500.0;1000.0;23;1043;2020-1;GHI7L89;74185296311;73500.0;1000.0;
23;1043;2020-1;21/03/2025;73500;1000;74500;65.000;GHI7L89;Carlos Souza;74185296311;RJ;73500.0;65.0;23;1043;2020-1;GHI7L89;74185296311;73500.0;1000.0;23;1043;2020-1;GHI7L89;74185296311;73500.0;1000.0;
44;7710;2017-1;2025-05-11;39.900,00;700,00;40.600,00;87000;MNO9T12;Paulo Mendes;321.654.987-33;SP;39900.0;87000.0;44;7710;2017-1;MNO9T12;32165498733;39900.0;700.0;44;7710;2017-1;MNO9T12;32165498733;39900.0;700.0;
44;7710;2017-1;12/05/2025;39900;700;40600;87.000;MNO9T12;Pedro Mendes;32165498733;SP;39900.0;87.0;44;7710;2017-1;MNO9T12;32165498733;39900.0;700.0;44;7710;2017-1;MNO9T12;32165498733;39900.0;700.0;
22;9120;2019-3;2025-04-05;52.300,00;850,00;53.150,00;42000;JKL2P45;Ana Lima;159.753.486-22;SP;52300.0;42000.0;22;9120;2019-3;JKL2P45;15975348622;52300.0;850.0;22;9120;2019-3;JKL2P45;15975348622;52300.0;850.0;
21;4828;2018-2;2025/02/16;R$45.990,00;900,00;46.890,00;98000;DEF4K56;Maria Oliveira;987.654.321-00;RJ;45990.0;98000.0;21;4828;2018-2;DEF4K56;98765432100;45990.0;900.0;21;4828;2018-2;DEF4K56;98765432100;45990.0;900.0;
59;5940;2014-1;07-02-2025;88,629.00;1.200,00;89.829,00;120000km;PQR5S67;Juliana Prado;951-357-258-66;SP;88.629;120000.0;59;5940;2014-1;PQR5S67;95135725866;88.629;1200.0;59;5940;2014-1;PQR5S67;95135725866;88.629;1200.0;
